pair_id,usaf,wban,name
0,"726770","24033","BILLINGS LOGAN INTERNATIONAL"
0,"999999","24033","BILLINGS MUNICIPAL ARPT"
1,"726810","24131","BOISE AIR TERMINAL/GOWEN FD A"
1,"999999","24131","BOISE AIR TERMINAL"
2,"726930","24221","MAHLON SWEET FIELD AIRPORT"
2,"999999","24221","EUGENE MAHLON SWEET ARPT"
3,"723860","23169","MCCARRAN INTERNATIONAL AIRPOR"
3,"999999","23169","LAS VEGAS MCCARRAN INTL AP"
4,"722950","23174","LOS ANGELES INTERNATIONAL AIR"
4,"999999","23174","LOS ANGELES MUNICIPAL ARPT"
5,"722880","23152","BURBANK-GLENDALE-PASA ARPT"
5,"999999","23152","HOLLYWOOD BURBANK ARPT"
6,"999999","23183","PHOENIX SKY HARBOR INTL AP"
6,"722780","23183","PHOENIX SKY HARBOR INTL AIRPO"
7,"726985","99999","PORTLAND TROUTDALE"
7,"726985","24242","PORTLAND-TROUTDALE AIRPORT"
8,"725846","93201","TRUCKEE-TAHOE AIRPORT"
8,"725846","99999","TRUCKEE-TAHOE"
9,"999999","23188","SAN DIEGO LINDBERGH FIELD"
9,"722900","23188","SAN DIEGO INTERNATIONAL AIRPO"
10,"999999","93107","SAN DIEGO MIRAMAR NAS"
10,"722930","93107","SAN DIEGO/MIRAMAR N"
10,"722931","93107","MARINE CORPS AIR STATION"
11,"999999","23230","OAKLAND METROPOLITAN"
11,"724930","23230","METRO OAKLAND INTL AIRPORT"
12,"999999","23234","SAN FRANCISCO INTL AP"
12,"724940","23234","SAN FRANCISCO INTERNATIONAL A"
13,"999999","23239","NAVAL AIR STATION"
13,"745060","23239","ALAMEDA(USN)"
13,"994033","99999","ALAMEDA"
14,"727937","99999","SNOHOMISH CO"
14,"727937","24222","SNOHOMISH CO (PAINE FD) AP"
15,"722740","23160","TUCSON INTERNATIONAL AIRPORT"
15,"999999","23160","TUCSON INTERNATIONAL AP"
