usaf,wban,timestamp
"722740","23160","1980-08-02"
"722740","23160","1980-08-02"
"722740","23160","1984-07-31"
"722740","23160","1984-07-31"
"722745","23109","2010-09-22"
"722745","23109","2010-09-22"
"722745","23109","2017-07-12"
"722785","23111","2008-05-23"
"722785","23111","2008-05-24"
"722785","23111","2009-04-12"
"722785","23111","2010-07-30"
"722785","23111","2015-08-28"
"722785","23111","2017-07-17"
"722785","23111","2018-11-30"
"722900","23188","1974-05-22"
"722900","23188","1977-05-05"
"722900","23188","1983-08-09"
"722900","23188","1984-07-02"
"722900","23188","1984-07-14"
"722900","23188","1984-08-15"
"722900","23188","1984-11-24"
"722900","23188","1985-04-06"
"722900","23188","1985-08-17"
"722900","23188","1985-10-04"
"722900","23188","1985-10-06"
"722900","23188","1986-02-03"
"722900","23188","1986-02-19"
"722900","23188","1986-03-07"
"722900","23188","1986-04-07"
"722900","23188","1986-06-04"
"722950","23174","1980-12-18"
"722950","23174","1982-02-24"
"722950","23174","1983-05-27"
"723860","23169","1978-07-16"
"724695","23036","1985-07-20"
"724930","23230","1976-07-01"
"726770","24033","1982-07-01"
"726770","24033","1985-07-28"
"726810","24131","1982-06-28"
"726810","24131","1996-01-17"
"726810","24131","1996-01-17"
"726985","99999","1977-01-20"
"727850","24157","1980-05-06"
"727850","24157","1988-11-23"
"727855","24114","2010-10-25"
"727855","24114","2014-03-14"
"727930","24233","1978-09-02"
