usaf,wban,name,country,state,call,latitude,longitude,elevation_ft,nearest_city,distance_km,first_date,last_date,record_count,time_coverage
723650,23050,ALBUQUERQUE INTL SUNPORT AIRP,US,NM,KABQ,35.042,-106.616,1618.5,Albuquerque,5.659,1941-07-01,2022-04-17,28281,0.958
726770,24033,BILLINGS LOGAN INTERNATIONAL,US,MT,KBIL,45.807,-108.542,1091.5,Billings,4.148,1935-05-01,2022-04-17,20143,0.634
726810,24131,BOISE AIR TERMINAL/GOWEN FD A,US,ID,KBOI,43.567,-116.241,875.4,Boise,6.181,1931-01-01,2022-04-17,21763,0.652
718770,99999,CALGARY INTL,CA,,CYYC,51.114,-114.02,1084.2,Calgary,8.512,1957-01-01,2022-04-16,18828,0.789
725640,24018,CHEYENNE AIRPORT,US,WY,KCYS,41.158,-104.807,1863.2,Cheyenne,2.290,1948-01-01,2022-04-17,26405,0.973
724695,23036,BUCKLEY AIR FORCE BASE,US,CO,KBKF,39.717,-104.75,1726.1,Denver,20.694,1961-03-01,2022-04-17,19761,0.885
711210,99999,EDMONTON/NAMAO(MIL),CA,,CYED,53.667,-113.467,688.0,Edmonton,13.556,1944-10-10,2022-04-14,19426,0.686
711230,99999,EDMONTON INTL,CA,,CYEG,53.31,-113.58,723.3,Edmonton,26.869,1973-01-01,2022-04-16,16709,0.928
726930,24221,MAHLON SWEET FIELD AIRPORT,US,OR,KEUG,44.128,-123.221,107.6,Eugene,13.646,1973-01-01,2022-04-17,18000,0.999
723860,23169,MCCARRAN INTERNATIONAL AIRPOR,US,NV,KLAS,36.072,-115.163,664.5,Las Vegas,11.087,1973-01-01,2022-04-17,17639,0.979
722970,23129,LONG BEACH / DAUGHERTY FIELD,US,CA,KLGB,33.812,-118.146,9.5,Los Angeles,28.192,1943-01-01,2022-04-17,28929,0.998
722950,23174,LOS ANGELES INTERNATIONAL AIR,US,CA,KLAX,33.938,-118.389,29.6,Los Angeles,18.461,1944-01-01,2022-04-17,18289,0.639
722880,23152,BURBANK-GLENDALE-PASA ARPT,US,CA,KBUR,34.201,-118.358,236.2,Los Angeles,19.605,1943-06-01,2022-04-17,17461,0.606
722785,23111,LUKE AFB AIRPORT,US,AZ,KLUF,33.55,-112.367,330.7,Phoenix,29.421,1941-12-01,2022-04-17,25364,0.863
722786,23104,WILLIAMS GATEWAY AIRPORT,US,AZ,KIWA,33.3,-111.667,421.2,Phoenix,41.240,1942-03-01,2022-04-17,24895,0.850
722780,23183,PHOENIX SKY HARBOR INTL AIRPO,US,AZ,KPHX,33.428,-112.004,337.4,Phoenix,6.882,1973-01-01,2022-04-17,17986,0.999
726980,24229,PORTLAND INTERNATIONAL AIRPOR,US,OR,KPDX,45.596,-122.609,5.8,Portland,10.480,1936-05-01,2022-04-17,26811,0.853
724880,23185,RENO/TAHOE INTERNATIONAL AIRP,US,NV,KRNO,39.484,-119.771,1344.2,Reno,6.312,1943-01-05,2022-04-17,24542,0.847
725720,24127,SALT LAKE CITY INTERNATIONAL,US,UT,KSLC,40.778,-111.969,1287.8,Salt Lake City,6.838,1941-11-01,2022-04-17,27410,0.932
725755,24101,HILL AFB AIRPORT,US,UT,KHIF,41.117,-111.967,1459.7,Salt Lake City,40.120,1941-10-01,2022-04-17,26719,0.908
722906,93112,NORTH ISLAND NAS,US,CA,KNZY,32.7,-117.2,7.9,San Diego,4.040,1945-04-01,2022-04-17,28129,0.999
722900,23188,SAN DIEGO INTERNATIONAL AIRPO,US,CA,KSAN,32.734,-117.183,4.6,San Diego,2.885,1942-01-01,2022-04-17,18217,0.621
724930,23230,METRO OAKLAND INTL AIRPORT,US,CA,KOAK,37.721,-122.221,1.8,San Francisco,18.447,1943-01-01,2022-04-17,16718,0.577
724940,23234,SAN FRANCISCO INTERNATIONAL A,US,CA,KSFO,37.62,-122.365,2.4,San Francisco,17.880,1973-01-01,2022-04-17,18004,1.0
727930,24233,SEATTLE-TACOMA INTERNATIONAL,US,WA,KSEA,47.444,-122.314,112.8,Seattle,18.087,1948-01-01,2022-04-17,26040,0.959
727935,24234,BOEING FLD/KING CO INTL AP,US,WA,KBFI,47.53,-122.301,5.5,Seattle,8.788,1943-10-01,2022-04-17,23053,0.803
727850,24157,SPOKANE INTERNATIONAL AIRPORT,US,WA,KGEG,47.622,-117.528,717.2,Spokane,8.664,1941-08-11,2022-04-17,27096,0.919
727855,24114,FAIRCHILD AIR FORCE BASE,US,WA,KSKA,47.633,-117.65,750.1,Spokane,17.020,1940-04-01,2022-04-17,27560,0.919
722740,23160,TUCSON INTERNATIONAL AIRPORT,US,AZ,KTUS,32.131,-110.955,776.9,Tucson,10.353,1973-01-01,2022-04-17,18001,0.999
722745,23109,DAVIS-MONTHAN AFB AIRPORT,US,AZ,KDMA,32.167,-110.883,824.2,Tucson,10.616,1941-07-17,2022-04-17,26222,0.889
718920,99999,VANCOUVER INTL,CA,,CYVR,49.194,-123.184,4.3,Vancouver,10.882,1957-01-06,2022-04-16,15895,0.666
